q,CpT_sin,CpT_sn
-0.439923,0.253072,0.408127
-0.439002,0.259257,0.413369
-0.438081,0.265269,0.41845
-0.43716,0.271112,0.423376
-0.436239,0.276789,0.428148
-0.435318,0.282303,0.43277
-0.434397,0.287659,0.437246
-0.433476,0.292859,0.441579
-0.432555,0.297908,0.445772
-0.431634,0.302807,0.449828
-0.430713,0.307561,0.45375
-0.429792,0.312173,0.457541
-0.428871,0.316646,0.461204
-0.42795,0.320982,0.464743
-0.427029,0.325186,0.46816
-0.426108,0.329259,0.471457
-0.425187,0.333206,0.474638
-0.424266,0.337029,0.477706
-0.423345,0.34073,0.480663
-0.422424,0.344313,0.483512
-0.421503,0.347781,0.486255
-0.420582,0.351135,0.488896
-0.419661,0.35438,0.491436
-0.41874,0.357517,0.493878
-0.417819,0.360549,0.496224
-0.416898,0.363478,0.498478
-0.415977,0.366308,0.500641
-0.415056,0.369041,0.502716
-0.414135,0.371678,0.504704
-0.413214,0.374223,0.506609
-0.412293,0.376678,0.508433
-0.411372,0.379045,0.510177
-0.410451,0.381327,0.511844
-0.409529,0.383525,0.513436
-0.408608,0.385642,0.514954
-0.407687,0.38768,0.516402
-0.406766,0.389642,0.517781
-0.405845,0.391528,0.519093
-0.404924,0.393342,0.520339
-0.404003,0.395085,0.521523
-0.403082,0.396759,0.522645
-0.402161,0.398366,0.523707
-0.40124,0.399909,0.524711
-0.400319,0.401388,0.52566
-0.399398,0.402806,0.526554
-0.398477,0.404165,0.527396
-0.397556,0.405466,0.528186
-0.396635,0.406711,0.528928
-0.395714,0.407902,0.529621
-0.394793,0.40904,0.530269
-0.393872,0.410128,0.530871
-0.392951,0.411166,0.531431
-0.39203,0.412156,0.531948
-0.391109,0.4131,0.532426
-0.390188,0.413999,0.532864
-0.389267,0.414856,0.533265
-0.388346,0.41567,0.53363
-0.387425,0.416444,0.53396
-0.386504,0.417179,0.534257
-0.385583,0.417876,0.534521
-0.384662,0.418537,0.534755
-0.383741,0.419163,0.534958
-0.38282,0.419756,0.535133
-0.381899,0.420316,0.535281
-0.380978,0.420845,0.535402
-0.380057,0.421343,0.535498
-0.379136,0.421813,0.535571
-0.378215,0.422255,0.53562
-0.377294,0.422671,0.535647
-0.376373,0.423061,0.535653
-0.375452,0.423427,0.535639
-0.374531,0.423769,0.535606
-0.37361,0.42409,0.535555
-0.372689,0.424388,0.535487
-0.371768,0.424667,0.535403
-0.370846,0.424926,0.535303
-0.369925,0.425166,0.535189
-0.369004,0.425389,0.535061
-0.368083,0.425595,0.53492
-0.367162,0.425786,0.534768
-0.366241,0.425961,0.534604
-0.36532,0.426123,0.534429
-0.364399,0.426271,0.534245
-0.363478,0.426406,0.534052
-0.362557,0.42653,0.53385
-0.361636,0.426643,0.533641
-0.360715,0.426745,0.533425
-0.359794,0.426838,0.533202
-0.358873,0.426922,0.532974
-0.357952,0.426997,0.53274
-0.357031,0.427065,0.532502
-0.35611,0.427126,0.53226
-0.355189,0.427181,0.532015
-0.354268,0.427229,0.531766
-0.353347,0.427273,0.531516
-0.352426,0.427312,0.531263
-0.351505,0.427347,0.531009
-0.350584,0.427378,0.530754
-0.349663,0.427406,0.530499
-0.348742,0.427432,0.530244
-0.347821,0.427455,0.529989
-0.3469,0.427477,0.529736
-0.345979,0.427498,0.529483
-0.345058,0.427518,0.529232
-0.344137,0.427538,0.528983
-0.343216,0.427558,0.528737
-0.342295,0.427578,0.528493
-0.341374,0.4276,0.528252
-0.340453,0.427622,0.528015
-0.339532,0.427646,0.527781
-0.338611,0.427672,0.527552
-0.33769,0.4277,0.527327
-0.336769,0.427731,0.527106
-0.335848,0.427765,0.52689
-0.334927,0.427802,0.526679
-0.334006,0.427842,0.526474
-0.333085,0.427886,0.526274
-0.332164,0.427934,0.52608
-0.331242,0.427986,0.525892
-0.330321,0.428043,0.52571
-0.3294,0.428104,0.525534
-0.328479,0.428171,0.525365
-0.327558,0.428242,0.525203
-0.326637,0.428318,0.525047
-0.325716,0.4284,0.524899
-0.324795,0.428488,0.524758
-0.323874,0.428581,0.524624
-0.322953,0.428681,0.524497
-0.322032,0.428786,0.524378
-0.321111,0.428898,0.524266
-0.32019,0.429015,0.524163
-0.319269,0.42914,0.524067
-0.318348,0.429271,0.523978
-0.317427,0.429408,0.523898
-0.316506,0.429553,0.523826
-0.315585,0.429704,0.523762
-0.314664,0.429862,0.523706
-0.313743,0.430027,0.523659
-0.312822,0.4302,0.523619
-0.311901,0.430379,0.523588
-0.31098,0.430566,0.523565
-0.310059,0.430759,0.523551
-0.309138,0.43096,0.523545
-0.308217,0.431169,0.523547
-0.307296,0.431384,0.523557
-0.306375,0.431607,0.523576
-0.305454,0.431837,0.523603
-0.304533,0.432075,0.523638
-0.303612,0.43232,0.523682
-0.302691,0.432572,0.523734
-0.30177,0.432831,0.523794
-0.300849,0.433098,0.523863
-0.299928,0.433372,0.523939
-0.299007,0.433654,0.524024
-0.298086,0.433942,0.524117
-0.297165,0.434238,0.524218
-0.296244,0.434541,0.524326
-0.295323,0.434851,0.524443
-0.294402,0.435169,0.524568
-0.293481,0.435493,0.5247
-0.29256,0.435824,0.52484
-0.291638,0.436162,0.524988
-0.290717,0.436507,0.525143
-0.289796,0.436859,0.525306
-0.288875,0.437218,0.525476
-0.287954,0.437583,0.525654
-0.287033,0.437955,0.525838
-0.286112,0.438333,0.52603
-0.285191,0.438718,0.526229
-0.28427,0.439109,0.526435
-0.283349,0.439506,0.526648
-0.282428,0.43991,0.526868
-0.281507,0.440319,0.527094
-0.280586,0.440735,0.527327
-0.279665,0.441157,0.527567
-0.278744,0.441584,0.527813
-0.277823,0.442017,0.528065
-0.276902,0.442456,0.528323
-0.275981,0.4429,0.528587
-0.27506,0.443349,0.528857
-0.274139,0.443804,0.529133
-0.273218,0.444264,0.529415
-0.272297,0.44473,0.529703
-0.271376,0.4452,0.529995
-0.270455,0.445675,0.530294
-0.269534,0.446155,0.530597
-0.268613,0.446639,0.530906
-0.267692,0.447128,0.531219
-0.266771,0.447622,0.531538
-0.26585,0.44812,0.531861
-0.264929,0.448622,0.532189
-0.264008,0.449128,0.532522
-0.263087,0.449638,0.532859
-0.262166,0.450152,0.5332
-0.261245,0.45067,0.533545
-0.260324,0.451191,0.533895
-0.259403,0.451716,0.534248
-0.258482,0.452245,0.534606
-0.257561,0.452776,0.534967
-0.25664,0.453311,0.535331
-0.255719,0.453849,0.535699
-0.254798,0.45439,0.536071
-0.253877,0.454934,0.536446
-0.252956,0.455481,0.536823
-0.252034,0.45603,0.537204
-0.251113,0.456582,0.537588
-0.250192,0.457136,0.537974
-0.249271,0.457692,0.538364
-0.24835,0.458251,0.538755
-0.247429,0.458812,0.539149
-0.246508,0.459374,0.539546
-0.245587,0.459939,0.539945
-0.244666,0.460505,0.540346
-0.243745,0.461073,0.540748
-0.242824,0.461643,0.541153
-0.241903,0.462214,0.54156
-0.240982,0.462786,0.541968
-0.240061,0.46336,0.542378
-0.23914,0.463934,0.542789
-0.238219,0.46451,0.543202
-0.237298,0.465087,0.543616
-0.236377,0.465664,0.544031
-0.235456,0.466243,0.544447
-0.234535,0.466822,0.544865
-0.233614,0.467401,0.545283
-0.232693,0.467981,0.545702
-0.231772,0.468562,0.546122
-0.230851,0.469143,0.546542
-0.22993,0.469724,0.546963
-0.229009,0.470305,0.547385
-0.228088,0.470886,0.547807
-0.227167,0.471467,0.548229
-0.226246,0.472048,0.548651
-0.225325,0.472629,0.549074
-0.224404,0.47321,0.549497
-0.223483,0.47379,0.549919
-0.222562,0.47437,0.550342
-0.221641,0.47495,0.550765
-0.22072,0.475529,0.551187
-0.219799,0.476108,0.551609
-0.218878,0.476685,0.552031
-0.217957,0.477262,0.552452
-0.217036,0.477839,0.552873
-0.216115,0.478414,0.553293
-0.215194,0.478989,0.553713
-0.214273,0.479562,0.554132
-0.213352,0.480135,0.554551
-0.21243,0.480707,0.554969
-0.211509,0.481277,0.555386
-0.210588,0.481847,0.555802
-0.209667,0.482415,0.556218
-0.208746,0.482982,0.556632
-0.207825,0.483548,0.557046
-0.206904,0.484112,0.557458
-0.205983,0.484675,0.55787
-0.205062,0.485237,0.558281
-0.204141,0.485797,0.55869
-0.20322,0.486356,0.559099
-0.202299,0.486914,0.559506
-0.201378,0.48747,0.559912
-0.200457,0.488024,0.560317
-0.199536,0.488577,0.560721
-0.198615,0.489129,0.561124
-0.197694,0.489678,0.561525
-0.196773,0.490227,0.561925
-0.195852,0.490773,0.562324
-0.194931,0.491318,0.562722
-0.19401,0.491862,0.563118
-0.193089,0.492404,0.563513
-0.192168,0.492944,0.563907
-0.191247,0.493483,0.5643
-0.190326,0.49402,0.564691
-0.189405,0.494555,0.565081
-0.188484,0.495089,0.56547
-0.187563,0.495621,0.565857
