q,WN_sin,WN_sn,A_sin,A_sn,A_cp
0.25,0.707104,0.707104,0,0,0
0.24,0.703305,0.70321,0.0517735,0.0524404,0
0.23,0.699476,0.699134,0.0732718,0.074162,0
0.22,0.695604,0.695758,0.089804,0.0894427,0
0.21,0.691707,0.691661,0.103773,0.103682,0
0.2,0.687777,0.687559,0.116106,0.11619,0
0.19,0.68381,0.683267,0.127281,0.127475,0
0.18,0.679814,0.679491,0.137581,0.13784,0
0.17,0.675771,0.675176,0.147189,0.147479,0
0.16,0.671704,0.67085,0.156234,0.156525,0
0.15,0.667593,0.666326,0.16481,0.165831,0
0.14,0.663441,0.66198,0.172981,0.173925,0
0.13,0.659257,0.65776,0.180811,0.181659,0
0.12,0.655024,0.653192,0.188335,0.189077,0
0.11,0.650757,0.64842,0.195595,0.19685,0
0.1,0.646451,0.643631,0.202614,0.203715,0
0.09,0.642098,0.638626,0.209416,0.21095,0
0.08,0.637699,0.633801,0.216032,0.217371,0
0.07,0.633258,0.628752,0.222463,0.224165,0
0.06,0.628771,0.623517,0.228741,0.23076,0
0.05,0.624261,0.61818,0.234867,0.237171,0
0.04,0.619644,0.612874,0.240858,0.242899,0
0.03,0.615034,0.607306,0.246718,0.248998,0
0.02,0.610374,0.601492,0.252463,0.254951,0
0.01,0.605608,0.596128,0.258099,0.260768,0
0,0.600802,0.589528,0.263633,0.266927,0.370135
-0.01,0.596015,0.583397,0.269072,0.272489,0.435557
-0.02,0.59108,0.576968,0.274418,0.277939,0.475016
-0.03,0.586118,0.570473,0.279683,0.283284,0.504738
-0.04,0.581131,0.563413,0.284864,0.288964,0.529065
-0.05,0.576069,0.556527,0.289974,0.294109,0.549873
-0.06,0.570887,0.548846,0.295013,0.299583,0.568199
-0.07,0.565696,0.540582,0.299979,0.304959,0.584637
-0.08,0.560448,0.532338,0.304885,0.310242,0.5996
-0.09,0.555101,0.523424,0.30973,0.315436,0.613368
-0.1,0.54971,0.513626,0.314519,0.320546,0.626147
-0.11,0.544187,0.503703,0.319249,0.325576,0.638091
-0.12,0.538636,0.492838,0.323929,0.33053,0.649323
-0.13,0.533015,0.480256,0.328561,0.335783,0.659924
-0.14,0.52729,0.466388,0.33314,0.340588,0.669985
-0.15,0.521469,0.449892,0.33768,0.345688,0.679566
-0.16,0.515607,0.429121,0.342173,0.350714,0.688709
