q,WN_sin,WN_sn
0.25,1.76776,1.76776
0.24,1.75856,1.75891
0.23,1.75379,1.75359
0.22,1.75009,1.75002
0.21,1.74696,1.74686
0.2,1.74421,1.7437
0.19,1.74169,1.74098
0.18,1.73938,1.73909
0.17,1.73722,1.73634
0.16,1.73519,1.73484
0.15,1.73327,1.73207
0.14,1.73144,1.73056
0.13,1.7297,1.72822
0.12,1.72801,1.72619
0.11,1.7264,1.72384
0.1,1.72484,1.72223
0.09,1.72331,1.72108
0.08,1.72185,1.71869
0.07,1.72042,1.71704
0.06,1.71903,1.71535
0.05,1.71767,1.71411
0.04,1.71636,1.71169
0.03,1.71507,1.71042
0.02,1.7138,1.70865
0.01,1.71256,1.70666
0,1.71135,1.70485
-0.01,1.71016,1.70352
-0.02,1.70898,1.70215
-0.03,1.70783,1.69963
-0.04,1.70672,1.69823
-0.05,1.70561,1.69682
-0.06,1.70452,1.69486
-0.07,1.70342,1.6934
-0.08,1.70237,1.69132
-0.09,1.70132,1.68983
-0.1,1.70031,1.6883
-0.11,1.69928,1.68676
-0.12,1.69829,1.68466
-0.13,1.6973,1.68253
-0.14,1.69632,1.68091
-0.15,1.69535,1.6793
-0.16,1.6944,1.67765
-0.17,1.69345,1.67596
-0.18,1.69252,1.67321
-0.19,1.69159,1.67149
-0.2,1.69068,1.66975
-0.21,1.68979,1.66797
-0.22,1.6889,1.66619
-0.23,1.68801,1.66391
-0.24,1.68714,1.66208
-0.25,1.68627,1.66022
-0.26,1.6854,1.65832
-0.27,1.68455,1.6564
-0.28,1.68371,1.65446
-0.29,1.68288,1.65152
-0.3,1.68205,1.64953
-0.31,1.68124,1.6475
-0.32,1.68041,1.64545
-0.33,1.6796,1.64338
-0.34,1.67881,1.64187
-0.35,1.678,1.63882
-0.36,1.67722,1.63667
-0.37,1.67645,1.63449
-0.38,1.67566,1.63227
-0.39,1.67489,1.63001
-0.4,1.67412,1.62709
-0.41,1.67337,1.62455
-0.42,1.67261,1.62158
-0.43,1.67186,1.61921
-0.44,1.67111,1.61679
-0.45,1.67038,1.61435
-0.46,1.66964,1.61121
-0.47,1.66891,1.60789
-0.48,1.6682,1.60534
-0.49,1.66748,1.60277
-0.5,1.66675,1.60014
-0.51,1.66604,1.59681
-0.52,1.66534,1.5941
-0.53,1.66463,1.58992
-0.54,1.66394,1.58716
-0.55,1.66326,1.58364
-0.56,1.66255,1.58006
-0.57,1.66187,1.57715
-0.58,1.6612,1.57347
-0.59,1.66051,1.5697
