q,CpT_sin,CpT_sn
-0.0596754,0.754185,1.27227
-0.0589058,0.753552,1.26531
-0.0581363,0.752932,1.25847
-0.0573667,0.752325,1.25176
-0.0565972,0.75173,1.24516
-0.0558277,0.751148,1.23868
-0.0550581,0.750578,1.23232
-0.0542886,0.750018,1.22608
-0.053519,0.74947,1.21994
-0.0527495,0.748933,1.21391
-0.05198,0.748406,1.20799
-0.0512104,0.747889,1.20217
-0.0504409,0.747382,1.19645
-0.0496713,0.746884,1.19083
-0.0489018,0.746396,1.1853
-0.0481323,0.745916,1.17987
-0.0473627,0.745445,1.17454
-0.0465932,0.744981,1.16929
-0.0458236,0.744526,1.16413
-0.0450541,0.744079,1.15906
-0.0442846,0.743639,1.15407
-0.043515,0.743206,1.14917
-0.0427455,0.74278,1.14435
-0.041976,0.74236,1.1396
-0.0412064,0.741947,1.13493
-0.0404369,0.741541,1.13034
-0.0396673,0.74114,1.12582
-0.0388978,0.740745,1.12138
-0.0381283,0.740355,1.117
-0.0373587,0.739971,1.11269
-0.0365892,0.739592,1.10845
-0.0358196,0.739218,1.10428
-0.0350501,0.738848,1.10017
-0.0342806,0.738483,1.09612
-0.033511,0.738123,1.09214
-0.0327415,0.737766,1.08821
-0.0319719,0.737414,1.08434
-0.0312024,0.737066,1.08053
-0.0304329,0.736721,1.07678
-0.0296633,0.73638,1.07308
-0.0288938,0.736042,1.06943
-0.0281242,0.735707,1.06584
-0.0273547,0.735376,1.06229
-0.0265852,0.735047,1.0588
-0.0258156,0.734721,1.05536
-0.0250461,0.734399,1.05196
-0.0242766,0.734078,1.04861
-0.023507,0.73376,1.0453
-0.0227375,0.733445,1.04204
-0.0219679,0.733131,1.03883
-0.0211984,0.73282,1.03565
-0.0204289,0.732511,1.03252
-0.0196593,0.732204,1.02943
-0.0188898,0.731898,1.02638
-0.0181202,0.731595,1.02336
-0.0173507,0.731292,1.02039
-0.0165812,0.730992,1.01745
-0.0158116,0.730693,1.01455
-0.0150421,0.730395,1.01168
-0.0142725,0.730099,1.00885
-0.013503,0.729804,1.00605
-0.0127335,0.72951,1.00328
-0.0119639,0.729217,1.00055
-0.0111944,0.728925,0.997849
-0.0104248,0.728635,0.995179
-0.00965531,0.728345,0.99254
-0.00888577,0.728056,0.98993
-0.00811623,0.727767,0.987349
-0.00734669,0.72748,0.984797
-0.00657715,0.727193,0.982272
-0.00580762,0.726907,0.979775
-0.00503808,0.726621,0.977305
-0.00426854,0.726336,0.974861
-0.003499,0.726052,0.972442
-0.00272946,0.725768,0.970048
-0.00195992,0.725484,0.967679
-0.00119038,0.725201,0.965335
-0.000420842,0.724918,0.963013
0.000348697,0.724636,0.960715
0.00111824,0.724353,0.95844
0.00188778,0.724071,0.956186
0.00265731,0.72379,0.953955
0.00342685,0.723508,0.951745
0.00419639,0.723227,0.949556
0.00496593,0.722946,0.947387
0.00573547,0.722665,0.945239
0.00650501,0.722385,0.94311
0.00727455,0.722104,0.941001
0.00804409,0.721824,0.938911
0.00881363,0.721543,0.936839
0.00958317,0.721263,0.934786
0.0103527,0.720983,0.932751
0.0111222,0.720703,0.930734
0.0118918,0.720423,0.928734
0.0126613,0.720143,0.926752
0.0134309,0.719863,0.924786
0.0142004,0.719583,0.922837
0.0149699,0.719303,0.920904
0.0157395,0.719024,0.918987
0.016509,0.718744,0.917086
0.0172786,0.718464,0.915201
0.0180481,0.718184,0.913331
0.0188176,0.717904,0.911476
0.0195872,0.717625,0.909635
0.0203567,0.717345,0.90781
0.0211263,0.717065,0.905998
0.0218958,0.716786,0.904201
0.0226653,0.716506,0.902418
0.0234349,0.716226,0.900649
0.0242044,0.715947,0.898893
0.0249739,0.715667,0.897151
0.0257435,0.715388,0.895422
0.026513,0.715108,0.893705
0.0272826,0.714829,0.892002
0.0280521,0.714549,0.890312
0.0288216,0.71427,0.888634
0.0295912,0.713991,0.886968
0.0303607,0.713712,0.885315
0.0311303,0.713433,0.883673
0.0318998,0.713154,0.882044
0.0326693,0.712875,0.880426
0.0334389,0.712596,0.87882
0.0342084,0.712317,0.877226
