#q	WNsin1	WNsn1
0.25	4.264e+08	4.26294e+08
0.24	4.239e+08	4.23838e+08
0.23	4.21706e+08	4.21594e+08
0.22	4.19725e+08	4.19558e+08
0.21	4.17906e+08	4.17943e+08
0.2	4.16207e+08	4.16112e+08
0.19	4.14613e+08	4.14482e+08
0.18	4.13104e+08	4.12757e+08
0.17	4.11663e+08	4.11337e+08
0.16	4.10281e+08	4.09806e+08
0.15	4.08957e+08	4.08489e+08
0.14	4.07676e+08	4.07256e+08
0.13	4.06439e+08	4.05816e+08
0.12	4.05239e+08	4.04491e+08
0.11	4.04076e+08	4.03349e+08
0.1	4.02942e+08	4.0201e+08
0.09	4.01839e+08	4.00853e+08
0.08	4.0076e+08	3.99509e+08
0.07	3.99703e+08	3.98454e+08
0.06	3.98672e+08	3.97097e+08
0.05	3.9766e+08	3.96031e+08
0.04	3.96669e+08	3.94842e+08
0.03	3.95696e+08	3.93759e+08
0.02	3.94739e+08	3.92669e+08
0.01	3.938e+08	3.91286e+08
0	3.92877e+08	3.90182e+08
-0.01	3.91966e+08	3.89072e+08
-0.02	3.91068e+08	3.87953e+08
-0.03	3.90186e+08	3.86951e+08
-0.04	3.89312e+08	3.85816e+08
-0.05	3.88454e+08	3.84672e+08
-0.06	3.87608e+08	3.83519e+08
-0.07	3.86769e+08	3.82358e+08
-0.08	3.85941e+08	3.81185e+08
-0.09	3.85122e+08	3.80004e+08
-0.1	3.84313e+08	3.78815e+08
-0.11	3.83516e+08	3.77606e+08
-0.12	3.82725e+08	3.76406e+08
-0.13	3.81942e+08	3.75436e+08
-0.14	3.81166e+08	3.74213e+08
-0.15	3.80401e+08	3.7296e+08
-0.16	3.79642e+08	3.7168e+08
-0.17	3.7889e+08	3.70444e+08
-0.18	3.78134e+08	3.69145e+08
-0.19	3.77418e+08	3.68105e+08
-0.2	3.76668e+08	3.66786e+08
-0.21	3.75958e+08	3.65301e+08
-0.22	3.75213e+08	3.63968e+08
-0.23	3.74509e+08	3.62852e+08
-0.24	3.73807e+08	3.6133e+08
-0.25	3.73107e+08	3.59957e+08
-0.26	3.7241e+08	3.5839e+08
-0.27	3.71716e+08	3.5704e+08
-0.28	3.71025e+08	3.55465e+08
-0.29	3.70336e+08	3.54037e+08
-0.3	3.69649e+08	3.52391e+08
-0.31	3.69001e+08	3.50727e+08
-0.32	3.6832e+08	3.4924e+08
-0.33	3.67641e+08	3.47351e+08
-0.34	3.67e+08	3.45451e+08
-0.35	3.66325e+08	3.43696e+08
