#q	Asin1	Asn2	Acp1
0.25	0	0.00321586	0
0.24	0.019751	0.0198239	0
0.23	0.0270213	0.0270973	0
0.22	0.0321795	0.0321586	0
0.21	0.0362651	0.0362409	0
0.2	0.0396804	0.039778	0
0.19	0.0426329	0.0426632	0
0.18	0.0452432	0.0452512	0
0.17	0.0475893	0.0475904	0
0.16	0.0497253	0.0498199	0
0.15	0.0516894	0.0517544	0
0.14	0.05351	0.0535226	0
0.13	0.055208	0.0552342	0
0.12	0.0568007	0.0568034	0
0.11	0.058302	0.0583304	0
0.1	0.0597233	0.0597319	0
0.09	0.0610726	0.0611013	0
0.08	0.0623587	0.0623578	0
0.07	0.0635879	0.0635895	0
0.06	0.0647643	0.0647978	0
0.05	0.0658945	0.0659055	0
0.04	0.066981	0.0669949	0
0.03	0.0680282	0.0679909	0
0.02	0.0690392	0.0690474	0
0.01	0.0700164	0.0700142	0
0	0.070962	0.0708949	0.0752813
-0.01	0.0718793	0.0718369	0.0885875
-0.02	0.0727694	0.0726955	0.0966129
-0.03	0.0736334	0.0735441	0.102658
-0.04	0.0744741	0.0743831	0.107606
-0.05	0.075293	0.0752126	0.111838
-0.06	0.0760903	0.0759651	0.115565
-0.07	0.0768678	0.0767776	0.118909
-0.08	0.0776262	0.0775149	0.121952
-0.09	0.0783674	0.0782452	0.124752
-0.1	0.0790918	0.0789033	0.127351
-0.11	0.0798	0.0796209	0.129781
-0.12	0.0804929	0.0803322	0.132065
-0.13	0.0811716	0.0809733	0.134221
-0.14	0.0818359	0.0816094	0.136267
-0.15	0.0824879	0.0822405	0.138216
-0.16	0.0831267	0.0828669	0.140076
-0.17	0.0837532	0.0834886	0.141857
-0.18	0.084369	0.0841056	0.143567
-0.19	0.084973	0.0846572	0.145212
-0.2	0.0855666	0.0852658	0.146797
-0.21	0.0861502	0.0858098	0.148327
-0.22	0.0867233	0.0863505	0.149808
-0.23	0.0872873	0.0868877	0.151241
-0.24	0.0878424	0.0874217	0.152631
-0.25	0.0883888	0.0879524	0.153982
-0.26	0.0889265	0.08848	0.155294
-0.27	0.0894564	0.0889463	0.156571
-0.28	0.089978	0.089468	0.157816
-0.29	0.090492	0.0899291	0.159029
-0.3	0.0909986	0.0904452	0.160212
-0.31	0.0914984	0.0909014	0.161367
-0.32	0.091991	0.0913553	0.162497
-0.33	0.0924765	0.091807	0.163602
-0.34	0.0929561	0.0922565	0.164682
-0.35	0.0934294	0.0927038	0.165741
