#q	Cp1sin	Cp1sn
-0.349933	68,211.1	94,224.9
-0.349132	68,481.4	94,336.1
-0.348331	68,746.2	94,444.5
-0.347531	69,005.7	94,550.1
-0.34673	69,259.8	94,653
-0.345929	69,508.8	94,753.3
-0.345128	69,752.7	94,851.1
-0.344327	69,991.6	94,946.4
-0.343526	70,225.8	95,039.3
-0.342725	70,455.1	95,129.9
-0.341924	70,679.9	95,218.2
-0.341123	70,900.2	95,304.3
-0.340323	71,116	95,388.3
-0.339522	71,327.5	95,470.3
-0.338721	71,534.8	95,550.2
-0.33792	71,738	95,628.2
-0.337119	71,937.2	95,704.3
-0.336318	72,132.5	95,778.5
-0.335517	72,323.9	95,851
-0.334716	72,511.6	95,921.8
-0.333915	72,695.7	95,991
-0.333115	72,876.2	96,058.5
-0.332314	73,053.2	96,124.5
-0.331513	73,226.9	96,189
-0.330712	73,397.3	96,252.1
-0.329911	73,564.5	96,313.8
-0.32911	73,728.5	96,374.1
-0.328309	73,889.6	96,433.1
-0.327508	74,047.6	96,490.9
-0.326707	74,202.8	96,547.6
-0.325907	74,355.1	96,603
-0.325106	74,504.8	96,657.4
-0.324305	74,651.8	96,710.7
-0.323504	74,796.2	96,763
-0.322703	74,938.1	96,814.4
-0.321902	75,077.5	96,864.8
-0.321101	75,214.6	96,914.3
-0.3203	75,349.5	96,963
-0.319499	75,482	97,010.9
-0.318699	75,612.4	97,058
-0.317898	75,740.8	97,104.4
-0.317097	75,867	97,150.1
-0.316296	75,991.4	97,195.1
-0.315495	76,113.8	97,239.6
-0.314694	76,234.3	97,283.4
-0.313893	76,353.1	97,326.7
-0.313092	76,470.1	97,369.5
-0.312291	76,585.5	97,411.8
-0.311491	76,699.2	97,453.7
-0.31069	76,811.4	97,495.1
-0.309889	76,922.1	97,536.2
-0.309088	77,031.3	97,576.9
-0.308287	77,139.2	97,617.2
-0.307486	77,245.6	97,657.3
-0.306685	77,350.8	97,697.1
-0.305884	77,454.7	97,736.7
-0.305083	77,557.5	97,776.1
-0.304283	77,659	97,815.2
-0.303482	77,759.5	97,854.2
-0.302681	77,858.9	97,893.1
-0.30188	77,957.2	97,931.8
-0.301079	78,054.6	97,970.5
-0.300278	78,151.1	98,009.1
-0.299477	78,246.7	98,047.6
-0.298676	78,341.4	98,086.2
-0.297875	78,435.3	98,124.7
-0.297075	78,528.4	98,163.2
-0.296274	78,620.8	98,201.8
-0.295473	78,712.5	98,240.5
-0.294672	78,803.5	98,279.2
-0.293871	78,894	98,318
-0.29307	78,983.8	98,356.9
-0.292269	79,073	98,396
-0.291468	79,161.8	98,435.2
-0.290667	79,250	98,474.6
-0.289867	79,337.8	98,514.2
-0.289066	79,425.2	98,553.9
-0.288265	79,512.2	98,593.9
-0.287464	79,598.8	98,634.1
-0.286663	79,685	98,674.6
-0.285862	79,771	98,715.3
-0.285061	79,856.7	98,756.3
-0.28426	79,942.1	98,797.5
-0.283459	80,027.2	98,839.1
-0.282659	80,112.2	98,880.9
-0.281858	80,197	98,923.1
-0.281057	80,281.7	98,965.6
-0.280256	80,366.2	99,008.5
-0.279455	80,450.6	99,051.7
-0.278654	80,534.9	99,095.3
-0.277853	80,619.1	99,139.2
-0.277052	80,703.3	99,183.5
-0.276251	80,787.5	99,228.2
-0.275451	80,871.7	99,273.3
-0.27465	80,955.8	99,318.8
-0.273849	81,040.1	99,364.8
-0.273048	81,124.3	99,411.1
-0.272247	81,208.7	99,457.9
-0.271446	81,293.1	99,505.1
-0.270645	81,377.6	99,552.8
-0.269844	81,462.3	99,600.9
-0.269043	81,547	99,649.4
-0.268242	81,632	99,698.5
-0.267442	81,717	99,747.9
-0.266641	81,802.3	99,797.9
-0.26584	81,887.8	99,848.3
-0.265039	81,973.4	99,899.2
-0.264238	82,059.3	99,950.6
-0.263437	82,145.4	100,003
-0.262636	82,231.8	100,055
-0.261835	82,318.4	100,108
-0.261034	82,405.2	100,161
-0.260234	82,492.4	100,215
-0.259433	82,579.8	100,269
-0.258632	82,667.5	100,324
-0.257831	82,755.5	100,380
-0.25703	82,843.9	100,436
-0.256229	82,932.5	100,492
-0.255428	83,021.5	100,549
-0.254627	83,110.8	100,606
-0.253826	83,200.4	100,664
-0.253026	83,290.4	100,723
-0.252225	83,380.8	100,782
-0.251424	83,471.5	100,841
-0.250623	83,562.6	100,901
-0.249822	83,654.1	100,962
-0.249021	83,745.9	101,023
-0.24822	83,838.2	101,084
-0.247419	83,930.8	101,147
-0.246618	84,023.8	101,209
-0.245818	84,117.2	101,272
-0.245017	84,211	101,336
-0.244216	84,305.2	101,400
-0.243415	84,399.9	101,465
-0.242614	84,494.9	101,530
-0.241813	84,590.4	101,596
-0.241012	84,686.2	101,662
-0.240211	84,782.5	101,729
-0.23941	84,879.3	101,796
-0.23861	84,976.4	101,864
-0.237809	85,074	101,932
-0.237008	85,172	102,001
-0.236207	85,270.4	102,070
-0.235406	85,369.2	102,140
-0.234605	85,468.5	102,210
-0.233804	85,568.2	102,281
-0.233003	85,668.4	102,352
-0.232202	85,768.9	102,424
-0.231402	85,870	102,496
-0.230601	85,971.4	102,569
-0.2298	86,073.3	102,642
-0.228999	86,175.6	102,716
-0.228198	86,278.3	102,790
-0.227397	86,381.5	102,864
-0.226596	86,485	102,939
-0.225795	86,589.1	103,015
-0.224994	86,693.5	103,091
-0.224194	86,798.4	103,167
-0.223393	86,903.7	103,244
-0.222592	87,009.4	103,322
-0.221791	87,115.5	103,400
-0.22099	87,222.1	103,478
-0.220189	87,329	103,557
-0.219388	87,436.4	103,636
-0.218587	87,544.2	103,715
-0.217786	87,652.4	103,795
-0.216986	87,761	103,876
-0.216185	87,870	103,957
-0.215384	87,979.5	104,038
-0.214583	88,089.3	104,120
-0.213782	88,199.5	104,202
-0.212981	88,310.1	104,284
-0.21218	88,421.1	104,367
-0.211379	88,532.5	104,451
-0.210578	88,644.3	104,535
-0.209778	88,756.5	104,619
-0.208977	88,869	104,703
-0.208176	88,982	104,788
-0.207375	89,095.3	104,874
-0.206574	89,208.9	104,959
-0.205773	89,323	105,045
-0.204972	89,437.4	105,132
-0.204171	89,552.2	105,219
-0.20337	89,667.3	105,306
-0.20257	89,782.8	105,394
-0.201769	89,898.6	105,482
-0.200968	90,014.8	105,570
-0.200167	90,131.3	105,659
-0.199366	90,248.2	105,748
-0.198565	90,365.4	105,837
-0.197764	90,482.9	105,927
-0.196963	90,600.8	106,017
-0.196162	90,719	106,107
-0.195362	90,837.6	106,198
-0.194561	90,956.4	106,289
-0.19376	91,075.6	106,381
-0.192959	91,195.1	106,473
-0.192158	91,314.9	106,565
-0.191357	91,435	106,657
-0.190556	91,555.4	106,750
-0.189755	91,676.2	106,843
