#q	WNsin	WNsn
0.25	0.707104	0.707104
0.24	0.700756	0.700732
0.23	0.696831	0.696653
0.22	0.693707	0.693615
0.21	0.691029	0.690764
0.2	0.688651	0.688251
0.19	0.686477	0.686252
0.18	0.684465	0.684085
0.17	0.682584	0.682243
0.16	0.680809	0.680065
0.15	0.679124	0.678383
0.14	0.677513	0.676703
0.13	0.675967	0.67519
0.12	0.674487	0.673172
0.11	0.673057	0.67146
0.1	0.671668	0.669928
0.09	0.670328	0.668388
0.08	0.669022	0.666835
0.07	0.667749	0.665768
0.06	0.66651	0.664199
0.05	0.665303	0.662616
0.04	0.664121	0.661026
0.03	0.662965	0.659624
0.02	0.661834	0.658491
0.01	0.66072	0.656866
0	0.659631	0.655434
-0.01	0.658566	0.65426
-0.02	0.657512	0.652812
-0.03	0.656482	0.651141
-0.04	0.655461	0.649922
-0.05	0.654464	0.64844
-0.06	0.653477	0.646951
-0.07	0.652507	0.645681
-0.08	0.651546	0.644172
-0.09	0.650602	0.642867
-0.1	0.649667	0.641331
-0.11	0.648748	0.639999
-0.12	0.647838	0.638438
-0.13	0.646937	0.636865
-0.14	0.646046	0.63548
-0.15	0.64517	0.633884
-0.16	0.644304	0.632461
-0.17	0.643439	0.630842
-0.18	0.64259	0.629609
-0.19	0.64175	0.62813
-0.2	0.640912	0.626439
-0.21	0.64009	0.624944
-0.22	0.639269	0.623023
-0.23	0.638464	0.621667
-0.24	0.63766	0.619705
-0.25	0.636865	0.618302
-0.26	0.636072	0.616301
-0.27	0.635294	0.614673
-0.28	0.634518	0.612934
-0.29	0.63375	0.610908
-0.3	0.632984	0.609131
-0.31	0.632226	0.607012
-0.32	0.631476	0.6052
-0.33	0.630734	0.603051
-0.34	0.629994	0.601204
-0.35	0.629256	0.599026
-0.36	0.628526	0.59675
-0.37	0.627816	0.594773
-0.38	0.627064	0.59253
-0.39	0.626377	0.58986
-0.4	0.625628	0.587488
-0.41	0.624944	0.585081
-0.42	0.624261	0.582046
-0.43	0.623579	0.579523
-0.44	0.622838	0.576598
