#q	Asin	Asn	Acp
0.25	0	0	0
0.24	0.142723	0.143178	0
0.23	0.18128	0.181659	0
0.22	0.206761	0.206761	0
0.21	0.226263	0.226385	0
0.2	0.242255	0.242384	0
0.19	0.25592	0.25593	0
0.18	0.267909	0.267862	0
0.17	0.278631	0.278837	0
0.16	0.288353	0.288531	0
0.15	0.297271	0.297489	0
0.14	0.30552	0.305369	0
0.13	0.313205	0.31305	0
0.12	0.32041	0.320546	0
0.11	0.3272	0.327109	0
0.1	0.33362	0.333542	0
0.09	0.33972	0.339485	0
0.08	0.345532	0.345326	0
0.07	0.351084	0.350714	0
0.06	0.356402	0.35602	0
0.05	0.361511	0.361248	0
0.04	0.366425	0.36606	0
0.03	0.371164	0.37081	0
0.02	0.375736	0.375167	0
0.01	0.380158	0.379473	0
0	0.384444	0.383732	0.439318
-0.01	0.388597	0.387943	0.485253
-0.02	0.392629	0.391791	0.517407
-0.03	0.396548	0.395601	0.542927
-0.04	0.400362	0.399375	0.564411
-0.05	0.404076	0.403113	0.583129
-0.06	0.407695	0.40651	0.599808
-0.07	0.411227	0.410183	0.614915
-0.08	0.414675	0.413521	0.628769
-0.09	0.41804	0.416833	0.641592
-0.1	0.421334	0.419821	0.653544
-0.11	0.424556	0.423084	0.664771
-0.12	0.427709	0.426028	0.675352
-0.13	0.430799	0.429244	0.685383
-0.14	0.433823	0.432146	0.694917
-0.15	0.436792	0.435029	0.704017
-0.16	0.439704	0.437893	0.712727
-0.17	0.442564	0.440454	0.721076
-0.18	0.445368	0.443283	0.729109
-0.19	0.448124	0.445814	0.736845
-0.2	0.450835	0.448609	0.744318
-0.21	0.453498	0.45111	0.751538
-0.22	0.456117	0.453597	0.758531
-0.23	0.458694	0.45607	0.76531
-0.24	0.461232	0.45853	0.771887
-0.25	0.463729	0.460977	0.778287
-0.26	0.466187	0.463141	0.784506
-0.27	0.46861	0.465564	0.790569
-0.28	0.470996	0.467707	0.79648
-0.29	0.47335	0.470106	0.802241
-0.3	0.475671	0.472229	0.807874
-0.31	0.477959	0.474342	0.813376
-0.32	0.480216	0.476445	0.818755
-0.33	0.482442	0.478539	0.824021
-0.34	0.484639	0.480625	0.829174
-0.35	0.486808	0.482442	0.834224
-0.36	0.488953	0.48451	0.839172
-0.37	0.491068	0.48657	0.844026
-0.38	0.493156	0.488365	0.848793
-0.39	0.495222	0.490408	0.853469
-0.4	0.49726	0.492189	0.858068
-0.41	0.499277	0.493964	0.862578
-0.42	0.501273	0.495732	0.867018
-0.43	0.50324	0.497494	0.871384
-0.44	0.505198	0.499249	0.875677
