#q	Asin	Ssn	Acp
0.25	0	0	0
0.24	0.0517735	0.0524404	0
0.23	0.0732718	0.074162	0
0.22	0.089804	0.0894427	0
0.21	0.103773	0.103682	0
0.2	0.116106	0.11619	0
0.19	0.127281	0.127475	0
0.18	0.137581	0.13784	0
0.17	0.147189	0.147479	0
0.16	0.156234	0.156525	0
0.15	0.16481	0.165831	0
0.14	0.172981	0.173925	0
0.13	0.180811	0.181659	0
0.12	0.188335	0.189077	0
0.11	0.195595	0.19685	0
0.1	0.202614	0.203715	0
0.09	0.209416	0.21095	0
0.08	0.216032	0.217371	0
0.07	0.222463	0.224165	0
0.06	0.228741	0.23076	0
0.05	0.234867	0.237171	0
0.04	0.240858	0.242899	0
0.03	0.246718	0.248998	0
0.02	0.252463	0.254951	0
0.01	0.258099	0.260768	0
0	0.263633	0.266927	0.370135
-0.01	0.269072	0.272489	0.435557
-0.02	0.274418	0.277939	0.475016
-0.03	0.279683	0.283284	0.504738
-0.04	0.284864	0.288964	0.529065
-0.05	0.289974	0.294109	0.549873
-0.06	0.295013	0.299583	0.568199
-0.07	0.299979	0.304959	0.584637
-0.08	0.304885	0.310242	0.5996
-0.09	0.30973	0.315436	0.613368
-0.1	0.314519	0.320546	0.626147
-0.11	0.319249	0.325576	0.638091
-0.12	0.323929	0.33053	0.649323
-0.13	0.328561	0.335783	0.659924
-0.14	0.33314	0.340588	0.669985
-0.15	0.33768	0.345688	0.679566
-0.16	0.342173	0.350714	0.688709
