#q	CpTsin	CpTsn
-0.149729	0.610128	1.26082
-0.148743	0.609809	1.24819
-0.147758	0.609497	1.23588
-0.146772	0.609192	1.22387
-0.145786	0.608892	1.21216
-0.1448	0.608599	1.20074
-0.143814	0.608311	1.1896
-0.142828	0.608029	1.17874
-0.141842	0.607752	1.16815
-0.140856	0.60748	1.15782
-0.13987	0.607212	1.14775
-0.138884	0.606949	1.13793
-0.137898	0.606691	1.12835
-0.136912	0.606436	1.11901
-0.135926	0.606186	1.1099
-0.13494	0.605939	1.10101
-0.133954	0.605696	1.09235
-0.132968	0.605457	1.08389
-0.131982	0.60522	1.07565
-0.130996	0.604987	1.06761
-0.13001	0.604757	1.05977
-0.129024	0.604529	1.05212
-0.128038	0.604305	1.04466
-0.127052	0.604082	1.03738
-0.126066	0.603862	1.03027
-0.12508	0.603645	1.02335
-0.124094	0.603429	1.01658
-0.123108	0.603215	1.00999
-0.122122	0.603003	1.00355
-0.121136	0.602793	0.997264
-0.12015	0.602585	0.991131
-0.119164	0.602378	0.985145
-0.118178	0.602172	0.9793
-0.117192	0.601968	0.973595
-0.116206	0.601765	0.968024
-0.11522	0.601563	0.962584
-0.114234	0.601363	0.957271
-0.113248	0.601163	0.952081
-0.112263	0.600964	0.947012
-0.111277	0.600766	0.942059
-0.110291	0.600568	0.93722
-0.109305	0.600371	0.932491
-0.108319	0.600175	0.927868
-0.107333	0.59998	0.92335
-0.106347	0.599785	0.918932
-0.105361	0.59959	0.914612
-0.104375	0.599395	0.910387
-0.103389	0.599201	0.906254
-0.102403	0.599007	0.90221
-0.101417	0.598814	0.898253
-0.100431	0.59862	0.894381
-0.0994449	0.598427	0.89059
-0.0984589	0.598233	0.886878
-0.0974729	0.59804	0.883243
-0.096487	0.597847	0.879683
-0.095501	0.597653	0.876195
-0.094515	0.59746	0.872777
-0.0935291	0.597267	0.869427
-0.0925431	0.597073	0.866142
-0.0915571	0.596879	0.862922
-0.0905711	0.596685	0.859763
-0.0895852	0.596491	0.856665
-0.0885992	0.596297	0.853624
-0.0876132	0.596102	0.85064
-0.0866273	0.595907	0.84771
-0.0856413	0.595712	0.844833
-0.0846553	0.595517	0.842008
-0.0836693	0.595321	0.839232
-0.0826834	0.595125	0.836504
-0.0816974	0.594929	0.833822
-0.0807114	0.594733	0.831186
-0.0797255	0.594536	0.828593
-0.0787395	0.594338	0.826043
-0.0777535	0.594141	0.823533
-0.0767675	0.593943	0.821064
-0.0757816	0.593745	0.818633
-0.0747956	0.593546	0.816239
-0.0738096	0.593348	0.813881
-0.0728236	0.593148	0.811558
-0.0718377	0.592949	0.809269
-0.0708517	0.592749	0.807013
-0.0698657	0.592549	0.804788
-0.0688798	0.592348	0.802595
-0.0678938	0.592148	0.800431
-0.0669078	0.591947	0.798296
-0.0659218	0.591745	0.79619
-0.0649359	0.591544	0.79411
-0.0639499	0.591342	0.792057
-0.0629639	0.59114	0.79003
-0.061978	0.590937	0.788027
-0.060992	0.590735	0.786048
-0.060006	0.590532	0.784093
-0.05902	0.590328	0.78216
-0.0580341	0.590125	0.78025
-0.0570481	0.589922	0.778361
-0.0560621	0.589718	0.776492
-0.0550762	0.589514	0.774644
-0.0540902	0.58931	0.772816
-0.0531042	0.589106	0.771006
-0.0521182	0.588901	0.769216
-0.0511323	0.588697	0.767443
-0.0501463	0.588492	0.765688
-0.0491603	0.588287	0.76395
-0.0481743	0.588083	0.762229
-0.0471884	0.587878	0.760524
-0.0462024	0.587673	0.758835
-0.0452164	0.587468	0.757161
-0.0442305	0.587263	0.755502
-0.0432445	0.587058	0.753859
-0.0422585	0.586853	0.75223
-0.0412725	0.586648	0.750615
-0.0402866	0.586443	0.749013
-0.0393006	0.586238	0.747426
-0.0383146	0.586033	0.745851
-0.0373287	0.585828	0.74429
-0.0363427	0.585624	0.742741
-0.0353567	0.585419	0.741204
-0.0343707	0.585215	0.73968
-0.0333848	0.58501	0.738169
-0.0323988	0.584806	0.736668
-0.0314128	0.584602	0.73518
-0.0304269	0.584398	0.733703
-0.0294409	0.584194	0.732237
